Disease,Symptoms
Actinic Keratosis,"Sun damage;Crusting;Dry, scaly patches;Red or brown spots"
Moles,Dark spots;Raised moles
Candidiasis,Itchy rash;Swollen skin;White patches
Vitiligo,Lightened skin;White patches;Loss of pigmentation;Irregular skin color
Infestations/Bites,Wheals;Lice;Visible bites;Swollen red spots;Itchy rash
Candidiasis,"Itchy rash;Flaky skin;Swollen skin;Red, sore skin;White patches"
Lichen Planus,White lines;Purple flat-topped bumps
Rosacea,Eye irritation;Redness;Visible blood vessels;Burning sensation;Pimple-like bumps
Sun/Sunlight Damage,Freckles;Wrinkles;Sunburn;Rough patches
Vitiligo,White patches;Lightened skin;Loss of pigmentation
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Eczema,Itchy skin;Dry patches;Blisters
Tinea,Burning sensation;Peeling skin;Blisters;Itchy rash
Unknown/Normal Variants,No symptoms;Normal pigmentation
Candidiasis,"Swollen skin;Itchy rash;Red, sore skin"
Vitiligo,Irregular skin color;White patches;Lightened skin;Loss of pigmentation
Benign Tumors,Flesh-colored bumps;Non-cancerous growths
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Skin Cancer,Irregular borders;Changes in existing moles;Asymmetrical growth;New growths
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Lichen Planus,Inflammation;Purple flat-topped bumps;White lines
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Sun/Sunlight Damage,Wrinkles;Sunburn;Freckles;Rough patches
Vascular Tumors,Painful nodules;Red or purple spots;Swelling;Visible blood vessels
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Tinea,"Itchy rash;Red, ring-shaped rash;Burning sensation"
Acne,Blackheads;Inflamed skin;Whiteheads;Cystic acne;Oily skin
Unknown/Normal Variants,Normal pigmentation;No symptoms
Actinic Keratosis,"Dry, scaly patches;Itchy spots;Crusting;Sun damage"
Benign Tumors,Non-cancerous growths;Soft lumps
Vasculitis,Swollen blood vessels;Fever;Rash
Rosacea,Burning sensation;Redness
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Acne,Oily skin;Whiteheads;Pimples;Inflamed skin
Lupus,Mouth sores;Red patches;Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash
Tinea,Blisters;Peeling skin;Burning sensation
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Warts,Hard lumps;Bumps on skin;Itchy warts
Infestations/Bites,Itchy rash;Swollen red spots;Wheals
Lichen Planus,Itchy lesions;White lines;Inflammation;Purple flat-topped bumps
Rosacea,Redness;Burning sensation
Skin Cancer,Asymmetrical growth;Changes in existing moles;Irregular borders
Moles,Multicolored moles;Irregular border;Raised moles;Dark spots
Vasculitis,Red or purple patches;Skin sores;Fever;Swollen blood vessels;Rash
Tinea,"Burning sensation;Peeling skin;Red, ring-shaped rash"
Sun/Sunlight Damage,Freckles;Dark spots;Sunburn
Psoriasis,Thickened nails;Red skin;Itchy patches
Acne,Blackheads;Cystic acne
Sun/Sunlight Damage,Wrinkles;Freckles
Vitiligo,Lightened skin;Loss of pigmentation;White patches
Moles,Irregular border;Raised moles;Multicolored moles;Itchy moles
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Candidiasis,Swollen skin;Flaky skin
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Drug Eruption,Hives;Fever;Swelling;Itching;Red spots
Psoriasis,Itchy patches;Dry cracked skin
Infestations/Bites,Lice;Itchy rash
Sun/Sunlight Damage,Sunburn;Rough patches;Freckles;Wrinkles;Dark spots
Infestations/Bites,Visible bites;Wheals
Warts,Raised growths;Bumps on skin;Hard lumps;Itchy warts
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Warts,Rough texture;Raised growths;Itchy warts;Hard lumps
Tinea,"Peeling skin;Itchy rash;Red, ring-shaped rash;Burning sensation;Blisters"
Lupus,Butterfly-shaped rash;Mouth sores;Scaly skin;Sensitivity to sunlight;Red patches
Eczema,Dry patches;Blisters;Redness;Itchy skin
Skin Cancer,Bleeding lesions;New growths;Irregular borders;Asymmetrical growth
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Vitiligo,Loss of pigmentation;Lightened skin;Irregular skin color
Sun/Sunlight Damage,Rough patches;Freckles;Sunburn;Wrinkles
Rosacea,Burning sensation;Eye irritation;Visible blood vessels;Redness;Pimple-like bumps
Eczema,Redness;Blisters;Dry patches;Itchy skin;Cracked skin
Lupus,Sensitivity to sunlight;Butterfly-shaped rash
Vasculitis,Skin sores;Swollen blood vessels;Red or purple patches
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Moles,Raised moles;Irregular border;Dark spots;Itchy moles
Sun/Sunlight Damage,Sunburn;Dark spots;Wrinkles;Freckles
Psoriasis,Scaly skin;Red skin
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Eczema,Cracked skin;Itchy skin;Swollen skin;Dry patches;Redness
Moles,Raised moles;Irregular border;Multicolored moles
Vascular Tumors,Swelling;Visible blood vessels
Tinea,"Red, ring-shaped rash;Blisters;Burning sensation;Itchy rash"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Moles,Itchy moles;Irregular border
Vitiligo,Irregular skin color;Lightened skin;Loss of pigmentation;White patches
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Eczema,Itchy skin;Redness;Dry patches;Cracked skin
Candidiasis,"Swollen skin;White patches;Flaky skin;Red, sore skin"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Actinic Keratosis,"Crusting;Itchy spots;Dry, scaly patches"
Lupus,Mouth sores;Butterfly-shaped rash
Acne,Blackheads;Pimples;Inflamed skin;Whiteheads;Oily skin
Lupus,Scaly skin;Red patches;Mouth sores
Unknown/Normal Variants,Normal pigmentation;No symptoms
Moles,Multicolored moles;Irregular border;Itchy moles
Sun/Sunlight Damage,Freckles;Rough patches;Wrinkles
Lupus,Red patches;Sensitivity to sunlight;Mouth sores
Moles,Dark spots;Irregular border;Itchy moles
Lichen Planus,Purple flat-topped bumps;White lines;Inflammation
Moles,Dark spots;Multicolored moles
Tinea,"Itchy rash;Burning sensation;Peeling skin;Red, ring-shaped rash"
Skin Cancer,New growths;Bleeding lesions;Changes in existing moles;Irregular borders;Asymmetrical growth
Vascular Tumors,Red or purple spots;Painful nodules;Swelling;Visible blood vessels
Warts,Rough texture;Raised growths;Bumps on skin
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Actinic Keratosis,"Dry, scaly patches;Sun damage"
Lupus,Scaly skin;Sensitivity to sunlight
Vasculitis,Skin sores;Red or purple patches;Fever;Swollen blood vessels
Vasculitis,Swollen blood vessels;Skin sores;Red or purple patches;Fever
Acne,Cystic acne;Whiteheads;Inflamed skin;Blackheads;Oily skin
Vascular Tumors,Swelling;Red or purple spots;Visible blood vessels
Candidiasis,Flaky skin;White patches
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Acne,Cystic acne;Blackheads;Oily skin;Pimples;Inflamed skin
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Vitiligo,White patches;Loss of pigmentation;Irregular skin color;Lightened skin
Eczema,Itchy skin;Redness;Blisters;Dry patches;Cracked skin
Candidiasis,White patches;Flaky skin
Warts,Raised growths;Hard lumps;Bumps on skin;Rough texture;Itchy warts
Vascular Tumors,Visible blood vessels;Painful nodules;Swelling;Red or purple spots
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Acne,Whiteheads;Pimples
Warts,Bumps on skin;Rough texture
Psoriasis,Itchy patches;Red skin
Candidiasis,"Itchy rash;Red, sore skin"
Rosacea,Burning sensation;Redness;Pimple-like bumps
Actinic Keratosis,Crusting;Red or brown spots
Rosacea,Redness;Visible blood vessels
Acne,Whiteheads;Cystic acne
Eczema,Blisters;Redness
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Lupus,Scaly skin;Red patches
Lichen Planus,White lines;Itchy lesions;Inflammation
Moles,Itchy moles;Multicolored moles;Irregular border
Rosacea,Eye irritation;Visible blood vessels;Redness;Burning sensation;Pimple-like bumps
Candidiasis,"Red, sore skin;White patches;Flaky skin"
Tinea,"Itchy rash;Peeling skin;Red, ring-shaped rash;Burning sensation;Blisters"
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Acne,Cystic acne;Inflamed skin;Blackheads;Pimples;Oily skin
Acne,Inflamed skin;Cystic acne
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Psoriasis,Dry cracked skin;Thickened nails
Sun/Sunlight Damage,Freckles;Dark spots;Wrinkles;Rough patches
Actinic Keratosis,Red or brown spots;Crusting
